,Actor,value,variable,Title
121,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek']",<WikipediaPage 'Wild Wild West'>,20,The Mummy: Tomb of the Dragon Emperor
122,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Djimon Hounsou', 'Kit Harington']",<WikipediaPage 'How to Train Your Dragon 2'>,20,Evan Almighty
123,"['Michael J. Fox', 'Melanie Griffith', 'Nathan Lane', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki', 'James Woods', 'Steve Zahn']",<WikipediaPage 'Stuart Little 2'>,20,Waterworld
124,keyerror,<WikipediaPage 'Peter Pan'>,20,Dolittle
125,keyerror,<WikipediaPage 'Fantastic Four'>,20,King Arthur: Legend of the Sword
126,error,<WikipediaPage 'Avatar'>,21,47 Ronin
127,"['Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong', 'Michelle Yeoh']",<WikipediaPage 'The Mummy: Tomb of the Dragon Emperor'>,21,Jurassic World: Fallen Kingdom
128,keyerror,<WikipediaPage 'Tarzan'>,21,Guardians of the Galaxy
129,"['Peter Weller', 'Nancy Allen', ""Daniel O'Herlihy"", 'Ronny Cox', 'Kurtwood Smith', 'Miguel Ferrer']",<WikipediaPage 'RoboCop'>,21,Iron Man 2
130,"['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson', 'Ken Jeong', 'Norbert Leo Butz', 'Ken Hudson Campbell']",<WikipediaPage 'Wonder Park'>,21,Captain America: The Winter Soldier
131,keyerror,<WikipediaPage 'Hannibal'>,21,Dawn of the Planet of the Apes
132,"['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']",<WikipediaPage 'Superman Returns'>,22,The Polar Express
133,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'John Goodman', 'John Michael Higgins', 'Jimmy Bennett', 'Wanda Sykes']",<WikipediaPage 'Evan Almighty'>,22,Snow White and the Huntsman
134,"['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Stephen Colbert', 'Leslie Mann', 'Allison Janney']",<WikipediaPage 'Mr. Peabody & Sherman'>,22,Terminator 3: Rise of the Machines
135,"['Vin Diesel', 'Colm Feore', 'Keith David', 'Karl Urban', 'Thandiwe Newton', 'Alexa Davalos', 'Judi Dench', 'Linus Roache', 'Nick Chinlund', 'Yorick van Wageningen']",<WikipediaPage 'The Chronicles of Riddick'>,22,Van Helsing
