,variable,value,Actor
145,24,<WikipediaPage 'Dolittle (film)'>,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani', 'Octavia Spencer', 'Tom Holland', 'Ralph Fiennes', 'Selena Gomez', 'Marion Cotillard']"
146,24,<WikipediaPage 'Sahara'>,keyerror
147,24,<WikipediaPage 'Speed Racer'>,keyerror
148,24,<WikipediaPage 'Treasure Planet'>,"['Joseph Gordon-Levitt', 'Brian Murray', 'Emma Thompson', 'David Hyde Pierce', 'Martin Short', 'Michael Wincott', 'Laurie Metcalf', 'Roscoe Lee Browne']"
149,24,<WikipediaPage 'Happy Feet'>,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman', 'Hugo Weaving', 'Anthony LaPaglia', 'Magda Szubanski', 'Steve Irwin']"
150,25,<WikipediaPage 'Quantum of Solace'>,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Giancarlo Giannini', 'Jeffrey Wright', 'Judi Dench']"
151,25,<WikipediaPage 'King Arthur: Legend of the Sword'>,"['Charlie Hunnam', 'Àstrid Bergès-Frisbey', 'Djimon Hounsou', 'Aidan Gillen', 'Jude Law', 'Eric Bana']"
152,25,<WikipediaPage 'Ghostbusters'>,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis', 'Rick Moranis']"
153,25,error,error
154,25,<WikipediaPage 'Green Zone'>,error
155,25,<WikipediaPage 'Ocean's Eleven'>,"['George Clooney', 'Matt Damon', 'Andy García', 'Brad Pitt', 'Julia Roberts']"
156,26,<WikipediaPage 'Avengers: Endgame'>,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']"
157,26,<WikipediaPage 'Forty-seven rōnin'>,keyerror
158,26,<WikipediaPage 'Die Another Day'>,"['Pierce Brosnan', 'Halle Berry', 'Toby Stephens', 'Rosamund Pike', 'Rick Yune', 'John Cleese', 'Judi Dench', 'Michael Madsen']"
159,26,<WikipediaPage 'How Do You Know'>,"['Reese Witherspoon', 'Owen Wilson', 'Paul Rudd', 'Jack Nicholson', 'Kathryn Hahn']"
160,26,<WikipediaPage 'Geostorm'>,"['Gerard Butler', 'Jim Sturgess', 'Abbie Cornish', 'Alexandra Maria Lara', 'Daniel Wu', 'Eugenio Derbez', 'Ed Harris', 'Andy García']"
161,26,<WikipediaPage 'The Bourne Supremacy (film)'>,"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban', 'Gabriel Mann', 'Joan Allen']"
162,27,<WikipediaPage 'Pirates of the Caribbean: Dead Man's Chest'>,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']"
163,27,<WikipediaPage 'Jurassic World: Fallen Kingdom'>,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Toby Jones', 'Ted Levine', 'BD Wong', 'Jeff Goldblum']"
164,27,<WikipediaPage 'Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role'>,keyerror
165,27,<WikipediaPage 'Knight and Day'>,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà', 'Paul Dano']"
166,27,<WikipediaPage 'Point Break'>,"['Patrick Swayze', 'Keanu Reeves', 'Gary Busey', 'Lori Petty']"
167,27,<WikipediaPage 'Air Force One'>,error
