1917	keyerror
Jurassic World	['Chris Pratt', 'Bryce Dallas Howard',"Vincent D'Onofrio", 'Ty Simpkins', 'Nick Robinson', 'Omar Sy', 'BD Wong', 'Irrfan Khan']
Just Go With It	['Jennifer Aniston']
Justice League	keyerror
K-19: The Widowmaker	['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard']
King Arthur	error
King Arthur: Legend of the Sword	['Charlie Hunnam', 'Àstrid Bergès-Frisbey', 'Djimon Hounsou', 'Aidan Gillen', 'Jude Law', 'Eric Bana']
King Kong	keyerror
	0
Kingsman: The Golden Circle	['Colin Firth', 'Julianne Moore', 'Taron Egerton', 'Mark Strong', 'Halle Berry', 'Elton John', 'Channing Tatum', 'Jeff Bridges']
Kingsman: The Secret Service	0
Knight and Day	['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà', 'Paul Dano']
Kong: Skull Island	['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman', 'Brie Larson', 'Jing Tian', 'Toby Kebbell', 'John Ortiz', 'Corey Hawkins', 'Jason Mitchell', 'Shea Whigham', 'Thomas Mann', 'Terry Notary', 'John C. Reilly']
Kung Fu Panda	0
Kung Fu Panda 2	['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'James Hong', 'Michelle Yeoh', 'Danny McBride', 'Dennis Haysbert', 'Jean-Claude Van Damme', 'Victor Garber', 'Jackie Chan']
Kung Fu Panda 3	['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'Kate Hudson', 'James Hong', 'Randall Duk Kim', 'Jackie Chan']
	['Will Ferrell', 'Danny McBride', 'Anna Friel', 'Jorma Taccone']
Lara Croft: Tomb Raider	['Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor', 'Daniel Craig']
Lara Croft: Tomb Raider	0
